id,title,text,label
11,"United Nations Climate Summit Concludes with Historic Loss and Damage Fund Agreement","Delegates from 195 member nations finalized an operational framework for the global Loss and Damage Fund at the UN Climate Summit. Developed economies pledged an initial $700 million to assist climate-vulnerable island nations suffering from sea-level rise, prolonged droughts, and severe storm events.",REAL
12,"PROOF: Drinking Pure Bleach Cleanses COVID and Gives 200-Year Longevity","A miraculous holistic detox guru with over 10 million followers claims that ingesting industrial disinfectant diluted in saltwater eliminates all known bacterial and viral strains within 15 minutes, boosting cellular rejuvenation and extending human lifespan past two centuries.",FAKE
13,"Biomedical Researchers Develop Promising mRNA Vaccine for Pancreatic Cancer Clinical Trial","Oncologists at Memorial Sloan Kettering Cancer Center reported encouraging Phase 2 clinical trial results for an individualized neoantigen mRNA vaccine tailored to patients with surgically resected pancreatic ductal adenocarcinoma, showing significant delay in disease recurrence when combined with immunotherapy.",REAL
14,"Celebrity Actor Replaced by Silicon Android Robot in Secret Hollywood Ritual","Close family members and body-language experts have sounded the alarm after noticing distinct mechanical eyelid lag and synthetic vocal harmonics during recent press junkets, alleging the real Oscar winner was substituted with an advanced military-grade cyborg clone.",FAKE
15,"Global Supply Chain Resilience Improves as Ports Adopt Automated Logistics Protocols","International freight index data indicates container shipping turnaround times have returned to pre-pandemic baseline averages across major oceanic transit corridors, aided by automated crane scheduling, digitized customs clearance, and predictive terminal throughput software.",REAL
16,"Government Injects Microscopic Tracking Nano-Bees into Bottled Water to Monitor Voting","A leaked memo from the Department of Homeland Intelligence reveals that tap water and national water brands are secretly infused with microscopic metallic bots designed to scan retina responses when citizens enter polling stations on election day.",FAKE
17,"Astronomers Detect Water Vapor in Atmosphere of Habitable-Zone Exoplanet","Using spectroscopic measurements from high-precision ground-based interferometers and space observatories, planetary scientists have confirmed the presence of atmospheric water vapor and silicate clouds on a super-Earth exoplanet orbiting within the circumstellar habitable zone of an M-dwarf star 110 light-years away.",REAL
18,"Instant 1000% Crypto Profit Bot Created by 14-Year-Old Orphan Makes Everyone Rich","Wall Street hedge funds are in utter panic after a teenage coder developed an infallible quantum AI trading bot that converts $100 into $50,000 every 24 hours with zero risk. Government regulators are trying to shut down the secret download link before the general public discovers it.",FAKE
19,"Supreme Court Issues Ruling on Environmental Protection Agency Regulatory Scope","In a 6-3 opinion, the Supreme Court clarified the statutory limits of administrative authority under the Clean Air Act, ruling that sweeping systemic regulations over energy generation require explicit congressional authorization under the major questions doctrine.",REAL
20,"Ancient 50,000-Year-Old Pyramid Found in Antarctica Melts and Reveals Time Machine","Satellite thermographic imagery has exposed a gargantuan obsidian pyramid emerging from Antarctic glacial melt. Military excavation teams report finding functional time-dilation portals and ancient Atlantean crystalline power generators deep within the interior chambers.",FAKE
